Date,Year,Peak Chart Position,Artist - Source Database,Artist - Modified,Title - Source Database,Title - Modified,Genre,Duration,streaming platform,Original Record Label & Catalog No.,Suggested Filename,Search,id
1/1/2011,2011,13,Nicki Minaj Featuring Drake,Nicki Minaj,Moment 4 Life,Moment 4 Life,"['jazz funk', 'jazz fusion', 'progressive jazz fusion', 'smooth jazz']",4:39,Spotify,Young Money/Cash Money Digital,Nicki Minaj--Moment 4 Life (2011),https://www.google.com/search?q=%22Nicki Minaj%22+%22Moment 4 Life%22&ie=utf-8&oe=utf-8,3910
1/1/2011,2011,15,Usher,Usher,More,More,"['dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",3:49,Spotify,LaFace Digital,Usher--More (2011),https://www.google.com/search?q=%22Usher%22+%22More%22&ie=utf-8&oe=utf-8,3911
1/1/2011,2011,23,"Script, The",Script,For The First Time,For the First Time,"['adult standards', 'brill building pop', 'easy listening', 'vocal jazz']",4:12,Spotify,Phonogenic Digital,Script--For the First Time (2011),https://www.google.com/search?q=%22Script%22+%22For the First Time%22&ie=utf-8&oe=utf-8,3912
1/1/2011,2011,24,Taio Cruz Featuring Travie McCoy,Taio Cruz,Higher,Higher,"['adult standards', 'brill building pop', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",3:40,Spotify,Mercury Digital,Taio Cruz--Higher (2011),https://www.google.com/search?q=%22Taio Cruz%22+%22Higher%22&ie=utf-8&oe=utf-8,3913
1/1/2011,2011,32,Thompson Square,Thompson Square,Are You Gonna Kiss Me Or Not,Are You Gonna Kiss Me or Not,['deep disco'],3:09,Spotify,Stoney Creek Digital,Thompson Square--Are You Gonna Kiss Me or Not (2011),https://www.google.com/search?q=%22Thompson Square%22+%22Are You Gonna Kiss Me or Not%22&ie=utf-8&oe=utf-8,3914
1/1/2011,2011,52,Jerrod Niemann,Jerrod Niemann,What Do You Want,What Do You Want,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']",3:34,Spotify,Sea Gayle Digital,Jerrod Niemann--What Do You Want (2011),https://www.google.com/search?q=%22Jerrod Niemann%22+%22What Do You Want%22&ie=utf-8&oe=utf-8,3915
1/1/2011,2011,63,Fabolous,Fabolous,You Be Killin Em,You Be Killin Em,"['art pop', 'ectofolk', 'folk', 'lilith', 'melancholia', 'new wave pop', 'permanent wave', 'piano rock', 'pop rock', 'singer-songwriter']",3:29,Spotify,Desert Storm/Def Jam Digital,Fabolous--You Be Killin Em (2011),https://www.google.com/search?q=%22Fabolous%22+%22You Be Killin Em%22&ie=utf-8&oe=utf-8,3916
1/1/2011,2011,93,R. Kelly,R. Kelly,When A Woman Loves,When a Woman Loves,"['album rock', 'blues rock', 'classic rock', 'comic', 'glam metal', 'glam rock', 'hard rock', 'metal', 'protopunk', 'rock']",5:10,Spotify,Jive Digital,R. Kelly--When a Woman Loves (2011),https://www.google.com/search?q=%22R. Kelly%22+%22When a Woman Loves%22&ie=utf-8&oe=utf-8,3917
1/1/2011,2011,100,Mariah Carey,Mariah Carey,Oh Santa!,Oh Santa,"['album rock', 'hard rock', 'rock', 'soft rock']",3:30,Spotify,Island Digital,Mariah Carey--Oh Santa (2011),https://www.google.com/search?q=%22Mariah Carey%22+%22Oh Santa%22&ie=utf-8&oe=utf-8,3918
1/8/2011,2011,30,"Lonely Island, The Featuring Akon",Lonely Island,I Just Had Sex,I Just Had Sex,"['dance pop', 'electropop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'urban contemporary']",2:48,Spotify,Universal Republic Digital,Lonely Island--I Just Had Sex (2011),https://www.google.com/search?q=%22Lonely Island%22+%22I Just Had Sex%22&ie=utf-8&oe=utf-8,3919
1/8/2011,2011,58,Brad Paisley,Brad Paisley,This Is Country Music,This Is Country Music,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",5:15,Spotify,Arista Nashville Digital,Brad Paisley--This Is Country Music (2011),https://www.google.com/search?q=%22Brad Paisley%22+%22This Is Country Music%22&ie=utf-8&oe=utf-8,3920
1/8/2011,2011,66,3OH!3,3OH-3,Hit It Again,Hit It Again,"['funk', 'motown', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'smooth jazz', 'soul', 'urban contemporary']",3:03,Spotify,Photo Finish/Atlantic Digital,3OH-3--Hit It Again (2011),https://www.google.com/search?q=%223OH-3%22+%22Hit It Again%22&ie=utf-8&oe=utf-8,3921
1/8/2011,2011,76,Troop 41,Troop 41,Do The John Wall,Do the John Wall,"['album rock', 'classic rock', 'country rock', 'folk rock', 'glam metal', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']",4:23,Spotify,Kairizmic Digital,Troop 41--Do the John Wall (2011),https://www.google.com/search?q=%22Troop 41%22+%22Do the John Wall%22&ie=utf-8&oe=utf-8,3922
